平安证券,,,,,,
出入金,,,,,,
日期,金额,收益率,,,,
2023年7月13日 星期四,"¥37,000.00 ",,,净值更新,,
2023年7月28日 星期五,"¥6,000.00 ",,,2026年3月2日 星期一,"¥157,470.00 ",
2023年8月14日 星期一,"¥25,000.00 ",,,2026年3月4日 星期三,"¥21,611.00 ",
2023年9月26日 星期二,"¥19,000.00 ",,,2026年3月6日 星期五,"¥21,885.00 ",
2023年12月26日 星期二,"¥5,300.00 ",,,2026年3月9日 星期一,"¥21,975.00 ",
2024年1月16日 星期二,"¥5,000.00 ",,,2026年3月13日 星期五,"¥21,972.00 ",
2024年6月12日 星期三,"¥30,000.00 ",,,2026年3月20日 星期五,"¥21,603.00 ",
2024年7月1日 星期一,"¥10,000.00 ",,,2026年3月27日 星期五,"¥21,290.00 ",
2024年10月9日 星期三,"(¥50,000.00)",转出,,2026年3月30日 星期一,"¥21,230.00 ",
2025年10月13日 星期一,"¥50,000.00 ",,,2026年4月3日 星期五,"¥20,702.00 ",
2026年3月4日 星期三,"(¥135,000.00)",转出,,2026年4月7日 星期二,"¥20,738.00 ",
,,,,2026年4月17日 星期五,"¥21,492.00 ",
投资总额,"¥2,300.00 ",,,,,
最新现值,"¥21,492.00 ",,,,,